Common name,Scientific name,Family,Tag,Width,Soil pH,Height,USDA Hardiness zone,Water requirement,Life cycle,Soil type,Light requirement,Utility,Alternate name,Task Recommendations.,vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9,vec_10,vec_11
Licorice Fern ,Polypodium glycyrrhiza,Polypodiaceae,Shade-tolerant crop,0.6,5.5 - 7.0,0.5,6-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Medicinal (anti-inflammatory), ornamental",Licorice fern,"Plant in shaded, moist, well-drained woodland soil, maintain consistent moisture, mulch with leaf litter, propagate by division or spores, avoid direct sunlight, control slugs and snails, harvest rhizomes carefully for medicinal use",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5454545454545454
Lilac ,Syringa vulgaris,Oleaceae,Pest repellent,3.0,5.0 - 8.0,6.0,5-7,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Compost, Cosmetic, Dye, antifungal, Hedgerow, Pest control, Litmus, Microscope, Crafting, Pioneer, Poles, Lumber, Fragrance","Black elderberry, american black elderberry, blue elderberry, europea, european elder, european black elderberry","Plant in well-drained fertile soil with full sun, prune immediately after flowering to maintain shape, irrigate moderately during dry spells, mulch to conserve moisture, fertilize in early spring with balanced fertilizer, propagate by softwood cuttings, control powdery mildew",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6363636363636364
Lilyturf,Liriope muscari,Convallariaceae,Ground cover,0.5,5.5 - 6.5,0.3,5-10,"Dry, Moist",Perennial,"Light (sandy), Medium","Full sun, Partial sun/shade",Ground cover,"Big blue lilyturf, border grass, blue lilyturf, liriope","Plant in well-drained fertile soil with partial shade, irrigate moderately during dry periods, apply balanced fertilizer quarterly, mulch to conserve moisture, propagate by division, prune old foliage in late winter, control slugs and snails",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.45454545454545453
Limber pine ,Pinus flexilis,Pinaceae,Shade provider,12.0,5.0 - 6.5,25.0,4-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Fire starter, Tannin, Lumber",Chinese sweet chestnut,"Plant in well-drained sandy or loamy soil with full sun, irrigate moderately during dry spells, apply balanced fertilizer in early spring, mulch to conserve moisture, prune dead or damaged branches, protect young trees from frost, propagate by seed",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.36363636363636365
Lime Berry,Triphasia trifolia,Rutaceae,Fruit/seed producer,2.0,5.5 - 6.5,3.0,9-12,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Cosmetic, Gum, Fragrance","A-koto, angu, apala, asowntem, bamia, bendi, bhindee, bhindi, binda, bindi, bondo, cantarela, derere rechipudzi, derere, dheras, dherosh, enmomi, fetri, gombaut, gombo, gumbo, guro, gusha, idelele, ikhievbo, ilasha, ilo, ka fei huang kui, kacang bendi, kopi arab, kubewa, lafeu, lieka, loka, maana, ma-lontho, mesta, muomi, miagorro, nathando, nkruma, obori, ochro, okworu, okwulu, otigo-iwoka, pahari bendi, pingpesi, pui, quiabo, quimbambo, taku, uisul hme, vandakai, lime berry|kasthuri dehi, orangine","Plant in well-drained fertile soil with full sun to partial shade, irrigate moderately during dry spells, prune to maintain shape after fruiting, mulch to conserve moisture, fertilize in early spring, control aphids and scale insects, harvest berries when fully ripe",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Limnocharis flava,Limnocharis flava,Alismataceae,Ground cover,1.0,5.5 - 7.0,0.6,10-12,"Moist, Wet, Water",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,Cover crop,"Sawah flowering rush, bak kanjong, bengok, berek, bon cheen, etjeng, genjur, jinjir, keo neo, ne thao, phak kanjong, phak pai, sawah-flower rush, sawah-lettuce, talapat rusee, trakiet paong, velvetleaf, yellow burhead","Plant in shallow water or saturated soil in warm season, maintain water depth of 5-10 cm, apply balanced fertilizer monthly, control weeds manually, harvest leaves and tubers before frost, avoid waterlogging in dry periods, propagate by division",0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Locoto,Capsicum baccatum,Solanaceae,Culinary vegetable,0.75,5.5 - 7.0,2.0,8-11,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Culinary spice, ornamental",Aji,"Sow seeds indoors 8-10 weeks before last frost, transplant after frost risk, provide full sun and well-drained soil, irrigate consistently to maintain moisture, apply balanced fertilizer biweekly, stake plants to support heavy fruit load, control aphids and whiteflies, harvest peppers when fully colored, avoid over-fertilizing nitrogen",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Loquat ,Eriobotrya japonica,Rosaceae,Fruit/seed producer,4.0,6.0 - 7.0,9.0,8-11,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Lumber, Espalier, Fragrance",Japanese loquat,"Plant in well-drained fertile soil with full sun, irrigate deeply during dry spells, apply balanced fertilizer quarterly, mulch to conserve moisture, prune in late winter to remove dead or crowded branches, control fire blight and aphids, harvest fruits when fully ripe and soft",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6363636363636364
Lovage ,Levisticum officinale,Apiaceae,Culinary vegetable,2.0,4.5 - 6.5,2.5,3-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Pectin,Black berried aronia,"Sow seeds indoors 8-10 weeks before last frost, transplant after frost risk, plant in fertile, well-drained soil with full sun to partial shade, irrigate regularly to maintain moisture, apply balanced fertilizer monthly, mulch to conserve moisture, harvest leaves and roots before flowering, control aphids",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2727272727272727
Lupinus albus,Lupinus albus,Fabaceae or leguminosae,Nitrogen fixer,0.5,6.0 - 7.5,1.2,6–9,Moist,"Annual, Perennial","Light (sandy), Medium",Full sun,"Cosmetic, Fiber, Cover crop, oil, Dynamic accumulator, Nitrogen fixer",White lupine,"Sow seeds in well-drained sandy loam in early spring, inoculate seeds with rhizobium bacteria, thin seedlings to 15 cm spacing, irrigate moderately during flowering and pod development, apply phosphorus-rich fertilizer at planting, harvest seeds when pods dry and brown, rotate crops to reduce pests",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7272727272727273
Macadamia,Macadamia integrifolia,Proteaceae,Fruit/seed producer,8.0,5.0 - 6.5,10.0,9-12,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Cosmetic, Fire starter, oil, Tannin","Macadamia nut, smoothshell, queensland nut","Plant in deep, well-drained fertile soil with full sun, irrigate deeply during dry periods, apply balanced fertilizer quarterly, mulch to conserve moisture, prune to remove dead or crossing branches, control macadamia nut borer, harvest nuts when husks split",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.36363636363636365
Madrone ,Arbutus menziesii,Ericaceae,Shade provider,2.0,5.5 - 7.0,15.0,7-10,Moist,Perennial,"Light (sandy), Medium","Full sun, Partial sun/shade","Fiber, textiles, Fragrance","Ti kouka (Maori name), cabbage tree","Plant in well-drained acidic soil with full sun to partial shade, irrigate moderately during dry spells, mulch with leaf litter to conserve moisture, prune dead branches in late winter, propagate by seed or cuttings, control leaf spot diseases",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5454545454545454
Mallow ,Hibiscus syriacus,Malvaceae,Pest repellent,3.0,5.5 - 7.0,4.0,2-7,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Wind breaker, Erosion control","Serviceberry, shadbush, juneberry, saskatoon serviceberry, alderleaf serviceberry, dwarf service-berry, saskatoon berry, service berry [1-4]","Plant in well-drained fertile soil with full sun, prune annually in late winter to remove old wood, irrigate moderately during dry spells, apply balanced fertilizer in early spring, mulch to conserve moisture, propagate by cuttings, control aphids and whiteflies",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5454545454545454
Mango ,Mangifera indica,Anacardiaceae,Fruit/seed producer,10.0,5.5 - 7.5,25.0,10-12,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Fire starter, Containers, Dye, Lumber, Teeth","Bowen mango, aam, am, aanp, amb, amba, ampalam, ampelam, amra chuta, amram, amri, avay, bumang, cambe, cutam, embe, emwembe, epiyembe, has timor, kedi, maembe, magko, mamedi chettu, mamidi, mamong, mamuan, mamuang, manco, manga, mangga, mangko, mango-sane, mangobaum, mangoro, mangueira, manguiera, mangwara, mankai, maqo, marampalam, mau, mavi, mavu, mba chi, mempelam, mongoro, muapayahu, muyembe, mwangxa, mwembe, paho, pelem, svaay, te mangko, thai hai, thaiju, tharbi, tharyetthi, theihai, xoai com, xoai, yembe, aabo, aamba, aambaro, aambo, aanp, am, ama, amaramu, amavina, amb, amba, ambakoiti, ambanoo, ambe, ambo, amkoili, ampelan, amra, amcur, an, anbah, anbaj, common mango, indian mango, keri, kyungwa, maangottai, maembre, mamaram, mamidi-jeedi, manga, manga-espada, mangifera indica, mangifera indica bark, mango, mango dusa, mangobaum, mangopalme, mangoro, mangottai paruppu, mango|amba, mangue, mangueira, manguier, mankro, mankru, mavu, muembe, munyembe, mwembe, mángu, nyebe, shing-tog, taksai, yam, amra (seed), amra (stem bark), amrabijamajja","Plant in deep, fertile, well-drained soil with full sun, irrigate deeply during flowering and fruit set, apply balanced fertilizer quarterly, mulch to conserve moisture, prune to maintain shape and remove dead wood, control mango hoppers and anthracnose, harvest fruits when mature and fragrant",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Manzanita ,Arctostaphylos manzanita,Ericaceae,Shade provider,3.0,6.0 - 7.5,3.0,2-6,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Crafting, Companion, Fiber, Hedgerow, Soap, Nitrogen fixer, Fragrance",Gin'yo-gumi,"Plant in well-drained loamy soil with full sun to partial shade, irrigate moderately during dry spells, apply balanced fertilizer in early spring, mulch to conserve moisture, prune dead or damaged branches in late winter, control scale insects, harvest bark carefully for medicinal use, propagate by seed or cuttings",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Marjoram,Origanum majorana,Lamiaceae or labiatae,Pest repellent,0.5,6.0 - 7.5,1.2,4-10,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,Fragrance,"Blue Giant Hyssop, Lavender Hyssop, Licorice Mint, Wonder Honey Plant, Anise mint","Plant in acidic, well-drained sandy or rocky soil with full sun, irrigate sparingly once established, mulch with pine needles to maintain soil acidity, prune after flowering to maintain shape, propagate by seed or cuttings, control leaf spot, avoid overwatering",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7272727272727273
Marking Nut Tree Oriental Cashew ,Semecarpus anacardium,Anacardiaceae,Pest repellent,10.0,6.0 - 7.5,25.0,10-12,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Medicinal, dye, timber","Balia, bela, bhalai, bhalay, bhalayo, bhallataki, bhela, bhelatuki, bhelwa, bhilamo, bhilamu, bhilava, bhilawa, bholaguti, bhollia, bhularva, bibba, bibbo, bibha, bilva, bilwa, che, chera, dieng-soh-bhala, erimugi, goddu geru, jidi, karigeru, kawh-tebel, mai-ka-aung, marany nut, marsh nut, nalla jeedi, pohon rengas tinta, shenkotta, shenkottei, thitsi-bo, varnish tree","Sow seeds indoors 6-8 weeks before last frost, transplant after frost risk, plant in well-drained alkaline soil with full sun, irrigate moderately to maintain moisture, pinch tips regularly to encourage bushiness, harvest leaves before flowering, mulch to conserve moisture, control spider mites",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Matara Tea Tanner's cassia,Senna auriculata,Fabaceae,Nitrogen fixer,3.0,6.0 - 7.5,5.0,10-12,"Dry, Moist, Wet",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Medicinal, ornamental","Anwala, avarai, avaram, avarike, awal, peik-thingat, ranauraa, ranawara, tangedu, tanner's senna, tarvad, tarwad, tawar","Plant in deep, well-drained fertile soil with full sun, irrigate moderately during dry spells, apply balanced fertilizer quarterly, mulch to conserve moisture, prune dead or diseased branches in late winter, handle with care due to allergenic sap, propagate by seed or cuttings",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Mauritius Raspberry,Rubus rosifolius,Rosaceae,Fruit/seed producer,1.5,5.5 - 7.0,2.0,9-11,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Edible fruit, ornamental",Roseleaf raspberry,"Plant in well-drained sandy or loamy soil with full sun, irrigate sparingly once established, prune after flowering to maintain shape, mulch to conserve moisture, propagate by seed scarification, control aphids, tolerate dry climates",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5454545454545454
Maximilian Sunflower ,Helianthus maximiliani,Asteraceae or compositae,Tall crop,3.0,6.0 - 7.5,3.0,5-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dye, Fiber, Hair, Hedgerow, oil","Althaea, shrub althea, hardy hibiscus, chaba, gurhal, kembang sepatu mawar, kembang sepatu saro, mu jin, shrubby althæa, swet jaba, thon-ban-hla, woody hibiscus","Plant in well-drained fertile soil with full sun, prune in late winter to remove old canes, irrigate deeply during fruit set, apply high potassium fertilizer pre-flowering, mulch to suppress weeds, control raspberry beetle and powdery mildew, harvest berries when fully ripe",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Medlar ,Mespilus germanica,Rosaceae,Fruit/seed producer,4.0,6.0 - 7.0,6.0,5-8,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Lumber,Common medlar,"Sow seeds directly in well-drained soil after last frost, thin seedlings to 30 cm spacing, irrigate deeply during flowering and seed fill, apply nitrogen fertilizer at early growth and phosphorus at flowering, mulch to conserve moisture, control sunflower moth with insecticides, harvest seeds when back of flower heads turn brown",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6363636363636364
Mexican orange ,Choisya ternata,Rutaceae,Shade provider,3.0,5.5 - 6.5,3.6,5-7,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade","Dye, Hedgerow, Ground cover",Hardy fuchsia,"Plant in well-drained fertile soil with full sun, prune in late winter to remove dead or crossing branches, irrigate moderately during dry spells, mulch to conserve moisture, fertilize in early spring, control fire blight and aphids, harvest fruits when fully ripe and soft",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.45454545454545453
Mitsuba,Choisya ternata,Apiaceae or umbelliferae,Shade provider,0.3,6.0 - 7.0,1.0,4-8,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Culinary herb,Japanese honewort,"Plant in well-drained fertile soil with full sun to partial shade, prune after flowering to maintain shape, irrigate moderately during dry spells, mulch to conserve moisture, fertilize in early spring, propagate by semi-hardwood cuttings, control aphids and scale insects",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6363636363636364
Mizuna ,Cryptotaenia japonica,Brassicaceae or cruciferae,Culinary vegetable,1.0,5.5 - 6.5,1.0,8-11,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Culinary vegetable, medicinal properties",Eggplant,"Sow seeds in moist, fertile, shaded soil in early spring, thin seedlings to 20 cm spacing, irrigate consistently to maintain soil moisture, mulch with leaf litter, harvest leaves before flowering for best flavor, control slugs and snails, propagate by division, avoid waterlogging",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Mock orange ,Brassica rapa nipposinica,Hydrangeaceae,Culinary vegetable,3.0,6.0 - 7.5,5.0,5-9,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Companion, Hedgerow, Nitrogen fixer, Fragrance",Ebbing's silverberry,"Sow seeds in cool season in fertile, well-drained soil, thin seedlings to 15 cm spacing, irrigate consistently to avoid stress, apply nitrogen-rich fertilizer every 3 weeks, harvest leaves before flowering for best flavor, mulch to suppress weeds, control flea beetles with row covers, rotate crops annually",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7272727272727273
Monkey puzzle ,Philadelphus coronarius,Araucariaceae,Shade provider,9.0,5.5 - 7.0,30.0,3-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"oil, Soap, Lumber, Fragrance","Maidenhair tree, ginkgo","Plant in well-drained fertile soil with full sun to partial shade, prune immediately after flowering to maintain shape, irrigate moderately during dry spells, mulch to conserve moisture, propagate by softwood cuttings, control aphids, deadhead spent flowers",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Moringa,Araucaria araucana,Moringaceae,Shade provider,6.0,6.0 - 7.5,8.0,10-12,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Cosmetic, Filter, oil, Lumber","Miracle tree, ben tree, wispy-needled yasar tree, wild drum-stick tree","Plant in deep, well-drained fertile soil with full sun, irrigate moderately during dry spells, mulch to conserve moisture, prune dead or damaged branches, protect young trees from frost, propagate by seed, avoid waterlogging",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Mountain Lettuce ,Moringa peregrina,Saxifragaceae,Nitrogen fixer,0.3,5.5 - 7.0,1.0,6-8,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Ornamental, ground cover",Lettuceleaf saxifrage,"Plant in well-drained sandy or loamy soil with full sun, irrigate sparingly once established, apply phosphorus-rich fertilizer at planting, mulch to conserve moisture, prune to maintain shape and encourage branching, propagate by seed or cuttings, tolerate drought",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5454545454545454
Mountain pepper ,Saxifraga micranthidifolia,Winteraceae,Shade-tolerant crop,3.0,6.0 - 7.5,6.0,6-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dye, Hedgerow, Fragrance","Portugal laurel, Portuguese cherry laurel","Plant in moist, well-drained acidic soil with partial shade, maintain consistent moisture, mulch with leaf litter, propagate by division, avoid waterlogging, prune dead foliage after flowering, protect from frost",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Mouse-Ear Hawkweed,Tasmannia lanceolata,Asteraceae or compositae,Pest repellent,0.2,5.5 - 7.0,0.2,4-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,Ornamental,Mouse-ear hawkweed,"Plant in well-drained acidic soil with partial shade, irrigate regularly to maintain moisture, mulch with organic matter, prune after fruiting to maintain shape, propagate by seed or cuttings, control scale insects, tolerate cool climates",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Murray Lily,Pilosella officinarum,Amaryllidaceae,Ground cover,0.5,6.0 - 7.5,0.6,9-11,Moist,Perennial,"Light (sandy), Medium",Full sun,"Ornamental, medicinal",Murray lily,"Sow seeds in well-drained soil in spring, thin seedlings to 15 cm spacing, irrigate moderately to maintain moisture, apply balanced fertilizer monthly, prune to remove old flower heads, mulch to conserve moisture, control aphids, harvest leaves before flowering",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7272727272727273
Mushroom Plant,Crinum flaccidum,Acanthaceae,Shade provider,0.3,5.5 - 6.2,0.6,9-11,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Edible leaves, ornamental",Acanth spinach; shombay; moku; tani; kenkaba,"Plant bulbs in well-drained fertile soil with full sun to partial shade, irrigate moderately during growing season, apply balanced fertilizer quarterly, mulch to conserve moisture, divide clumps every 3-4 years, protect from frost, prune dead leaves, control bulb rot",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.39999999999999986
Musk Mallow,Rungia klossii,Malvaceae,Culinary vegetable,0.5,6.0 - 7.5,0.8,3-10,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dye, Fiber, Fragrance",Musk mallow,"Plant in well-drained fertile soil with partial shade, irrigate moderately to maintain moisture, apply balanced fertilizer monthly, mulch to conserve moisture, propagate by cuttings, harvest leaves regularly, control aphids",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Musk Mallow ,Malva moschata,Malvaceae,Soil conditioner,1.5,6.0 - 7.0,2.0,8-11,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Essential Oil, Fiber, Pest control, oil, Fragrance","Musk Okra, Hibiscus Abelmoschus","Sow seeds in well-drained soil in spring, thin seedlings to 20 cm spacing, irrigate moderately to maintain moisture, apply balanced fertilizer monthly, deadhead spent flowers to prolong bloom, mulch to conserve moisture, control powdery mildew",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Mustard ,Abelmoschus moschatus,Brassicaceae or cruciferae,Culinary vegetable,0.6,6.0 - 7.5,1.0,9-12,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Edible leaves, vegetable",Cretan mustard,"Sow seeds indoors 6-8 weeks before last frost, transplant after frost risk, plant in well-drained fertile soil with full sun, irrigate regularly to maintain moisture, apply balanced fertilizer monthly, mulch to conserve moisture, harvest pods before maturity, control aphids",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Myrtle ,Brassica cretica,Myrtaceae,Culinary vegetable,3.0,6.0 - 7.5,6.0,3-7,"Dry, Moist, Wet",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Fire starter, Cosmetic, Dye, Animal feed, oil, Pioneer, Erosion control, Lumber, Nitrogen fixer","Seaberry, cherkar, chharuras, chuma, dhurchuk, homoktovis, kalabisa, niechak, obliyepikha, sallowthorn, sea berry, sermang, siberian pineapple, sirma, star bu, tarwa chuk, tasru, tsarap, tserkar, tshogs skyur, xiaoguoshaji, zhu also known as: ananas de sibérie, argasse, argousier, argousier faux-nerprun, bourdaine marine, buckthorn, chharma, dhar-bu, épine luisante, épine marrante, espino armarillo, espino falso, faux nerprun, finbar, grisset, meerdorn, oblepikha, olivier de sibérie, purging thorn, rokitnik, sallow thorn, sanddorn, saule épineux, sceitbezien, sea-buckthorn, seedorn, star-bu, tindved","Sow seeds in cool season in fertile, well-drained soil, thin seedlings to 30 cm spacing, irrigate consistently to avoid stress, apply nitrogen-rich fertilizer every 3 weeks, harvest leaves before flowering, mulch to suppress weeds, control flea beetles with Bacillus thuringiensis, rotate crops annually",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Nandina ,Myrtus communis,Berberidaceae,Pest repellent,1.0,6.0 - 7.5,3.0,6-9,"Dry, Moist",Annual,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Blotting paper, Dye, Fiber, Fire starter, Cover crop, Herbicide, Microscope, oil, textiles, Dynamic accumulator",Common sunflower,"Plant in well-drained fertile soil with full sun, prune after flowering to maintain shape, irrigate moderately during dry spells, mulch to conserve moisture, propagate by cuttings, control scale insects, harvest leaves and berries for culinary use",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Nanking cherry ,Nandina domestica,Rosaceae,Shade provider,0.9,6.0 - 6.8,2.0,9-11,Moist,Annual,"Light (sandy), Medium, Heavy (clay)",Full sun,"Cosmetic, oil","Garden cucumber, English cucumber, slicing cucumber","Plant in well-drained fertile soil with partial shade, prune to maintain shape after flowering, irrigate moderately during dry spells, mulch to conserve moisture, propagate by seed or cuttings, control aphids and scale insects",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6000000000000001
Narrow-Leaved Hawksbeard,Prunus tomentosa,Asteraceae or compositae,Fruit/seed producer,0.3,6.0 - 7.0,0.3,4-7,Moist,"Annual, Biennial","Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Ornamental,Narrowleaf hawksbeard,"Plant in well-drained fertile soil with full sun, prune in late winter to remove dead or crossing branches, irrigate moderately during dry spells, mulch to conserve moisture, fertilize in early spring, control brown rot and aphids, harvest fruit when fully colored and slightly soft",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6363636363636364
Nasturtium ,Crepis tectorum,Tropaeolaceae,Ground cover,3.0,6.0 - 7.5,4.5,3-7,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Companion, Animal feed, Fire starter, Hedgerow, Nitrogen fixer, Fragrance","Japanese silverberry, umbellata oleaster, autumn olive, autumn elaeagnus, spreading oleaster","Sow seeds in well-drained soil in spring, thin seedlings to 15 cm spacing, irrigate moderately to maintain moisture, apply balanced fertilizer monthly, prune to remove old flower heads, mulch to conserve moisture, control aphids, harvest leaves before flowering",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Native Millet ,Tropaeolum majus,Poaceae or gramineae,Pollinator attractor,1.0,6.0 - 7.5,0.3,3-10,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Forage grass, soil stabilization",Australian millet,"Sow seeds directly in well-drained soil after last frost, thin seedlings to 30 cm spacing, irrigate moderately avoiding waterlogging, apply balanced fertilizer monthly, deadhead spent flowers to prolong blooming, mulch to conserve moisture, control aphids and caterpillars",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Nectarine ,Panicum decompositum,Rosaceae,Tall crop,3.0,6.0 - 7.5,6.0,4-8,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Adhesive, Cleanser, Dye, Gum, oil, Espalier","Nectarine, smooth peach","Sow seeds in well-drained soil at onset of rainy season, maintain grazing pressure to prevent overuse, apply phosphorus fertilizer in early growth, monitor for drought stress and irrigate if possible, control invasive weeds, harvest seed heads for propagation, avoid soil compaction",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
New Zealand flax,Prunus persica nucipersica,Agavaceae,Fruit/seed producer,3.0,6.0 - 7.5,3.5,4-8,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade","Medicinal, ornamental","Pumila spirea, chinese astilbe","Plant in well-drained fertile soil with full sun, prune in late winter to remove dead or crossing branches, irrigate deeply during dry spells, mulch to conserve moisture, fertilize with balanced fertilizer in early spring, control peach leaf curl and aphids, thin fruit to improve size, harvest when fruit is fully colored and slightly soft",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7272727272727273
